term_id,canonical_term,page,count
qmsr,Quality Management System Regulation,1,2
qmsr,Quality Management System Regulation,2,2
device,device,3,1
fda,U.S. Food and Drug Administration,3,2
inspection,inspection,3,2
qmsr,Quality Management System Regulation,5,2
clause_3_iso_9000_2015,Clause 3 of ISO 9000:2015,6,1
device,device,6,2
final_rule,final rule,6,1
incorporation_by_reference,incorporation by reference,6,1
international_consensus_standard,international consensus standard,6,1
iso_13485_2016,ISO 13485:2016,6,1
qmsr,Quality Management System Regulation,6,2
quality_system_regulation,Quality System Regulation,6,2
standards,standards,6,1
clause_3_iso_9000_2015,Clause 3 of ISO 9000:2015,7,1
compliance_program,Compliance Program,7,1
fda,U.S. Food and Drug Administration,7,1
fda_regulation,FDA regulation,7,1
final_rule,final rule,7,1
guidance_document,Guidance Document,7,1
hierarchy_of_definitions,hierarchy of definitions,7,1
inspection_process,inspection process,7,1
iso_13485_2016,ISO 13485:2016,7,1
policy,policy,7,1
procedure,procedure,7,1
qmsr,Quality Management System Regulation,7,2
rulemaking,rulemaking,7,1
standard_operating_procedure,Standard Operating Procedure,7,1
template,template,7,1
work_instruction,Work Instruction,7,1
contract_sterilization,contract sterilization,8,1
finished_device_intended_for_human_use,finished device intended for human use,8,1
installation,installation,8,1
manufacturer,manufacturer,8,1
qmsr,Quality Management System Regulation,8,2
relabeling,relabeling,8,1
specification_development,specification development,8,1
qmsr,Quality Management System Regulation,9,2
section_820_1_scope,21 CFR 820.1 (Scope),9,1
section_820_10_qms_requirements,21 CFR 820.10 (Requirements for a quality management system),9,1
section_820_3_definitions,21 CFR 820.3 (Definitions),9,1
section_820_35_control_of_records,21 CFR 820.35 (Control of records),9,1
section_820_45_labeling_packaging_controls,21 CFR 820.45 (Device labeling and packaging controls),9,1
section_820_7_incorporation_by_reference,21 CFR 820.7 (Incorporation by reference),9,1
applicability_of_qmsr,applicability of the QMSR,10,1
conflicts_under_fdc_act,conflicts with other requirements under the FD&C Act,10,1
exemption,exemption,10,1
foreign_manufacturer,foreign manufacturer,10,1
qmsr,Quality Management System Regulation,10,2
variance,variance,10,1
design,design,11,1
facilities_and_controls,facilities and controls,11,1
finished_device_intended_for_human_use,finished device intended for human use,11,1
installation,installation,11,1
labeling,labeling,11,1
manufacture,manufacture,11,1
packaging,packaging,11,1
qmsr,Quality Management System Regulation,11,2
servicing,servicing,11,1
storage,storage,11,1
applicable_requirements_and_specifications,applicable requirements and specifications,12,1
device,device,12,1
fdc_act,FD&C Act,12,1
finished_device,finished device,12,2
manufacture,manufacture,12,1
qmsr,Quality Management System Regulation,12,2
safe_and_effective,safe and effective,12,1
applicable_regulatory_requirements,applicable regulatory requirements,13,1
medical_device_reporting,Medical Device Reporting,13,1
medical_device_tracking,Medical Device Tracking Requirements,13,1
part_803,21 CFR Part 803,13,1
part_806,21 CFR Part 806,13,1
part_821,21 CFR Part 821,13,1
part_830,21 CFR Part 830,13,1
qmsr,Quality Management System Regulation,13,1
quality_management_system,quality management system,13,1
reports_of_corrections_and_removals,Medical Devices; Reports of Corrections and Removals,13,1
section_820_10_qms_requirements,21 CFR 820.10 (Requirements for a quality management system),13,1
unique_device_identification_system,Unique Device Identification System,13,2
adulterated_device,adulterated device,14,1
adulteration,adulteration,14,1
clause_7_3_iso_13485,Clause 7.3 of ISO 13485:2016,14,1
clause_7_5_9_2_iso_13485,Clause 7.5.9.2 of ISO 13485:2016,14,1
design_and_development_requirements,design and development requirements,14,1
qmsr,Quality Management System Regulation,14,1
regulatory_action,regulatory action,14,1
section_820_10_qms_requirements,21 CFR 820.10 (Requirements for a quality management system),14,1
traceability_for_implantable_devices,traceability for implantable devices,14,1
clause_4_2_5_iso_13485,Clause 4.2.5 of ISO 13485,15,1
clause_7_5_1_iso_13485,Clause 7.5.1 of ISO 13485,15,1
control_of_production_and_service_provision,control of production and service provision,15,1
qmsr,Quality Management System Regulation,15,1
section_820_45_labeling_packaging_controls,21 CFR 820.45 (Device labeling and packaging controls),15,1
design_and_development_requirements,design and development requirements,16,1
qmsr,Quality Management System Regulation,16,4
risk_based_approach,risk-based approach,16,1
risk_based_decision,risk-based decision,16,1
risk_management,risk management,16,1
classification,classification,20,1
clia,CLIA,20,1
device_recall,device recall,20,1
exporting,exporting,20,1
final_rule,final rule,20,1
global_harmonization,global harmonization,20,1
hde,HDE,20,1
hud,HUD,20,1
ide,IDE,20,1
in_vitro_diagnostics,In Vitro Diagnostics,20,1
industry_basics_workshop_series,Industry Basics Workshop Series,20,1
inspection,inspection,20,1
ivd_development,IVD Development,20,1
medical_device_reporting,Medical Device Reporting,20,1
pma,PMA,20,1
postmarket_activities,Postmarket Activities,20,1
q_submissions,Q-Submissions,20,1
qmsr,Quality Management System Regulation,20,1
quality_system,quality system,20,1
radiation_emitting_products,Radiation-Emitting Products,20,1
registration_and_listing,Registration and Listing,20,1
section_510k,510(k),20,1
small_business_program,Small Business Program,20,1
specialty_technical_topics,Specialty Technical Topics,20,1
standards,standards,20,1
start_here_the_basics,Start Here/The Basics!,20,1
study_and_market_your_device,Study and Market Your Device,20,1
third_party_review_organization,Third Party Review Organization,20,1
third_party_review_program,510(k) Third Party Review Program,20,1
unique_device_identification_system,Unique Device Identification System,20,1
virtual_town_hall_series,Virtual Town Hall Series,20,1
